Players,Height in Shoes,Wingspan
Manute Bol,7.58,8.50
Bruno Caboclo,6.75,7.58
Mohamed Bamba,7.00,7.83
Bismack Biyombo,6.67,7.50
Taylen Horton,6.33,7.08
Reggie Jackson,6.25,7.00
Jason Maxiell,6.50,7.25
Lang James,6.75,7.50
Elton Brand,6.75,7.46
Alonzo Mourning,6.83,7.54
Mouhamed Sene,7.00,7.71
Rajon Rondo,6.08,6.75
Josh Okogie,6.33,7.00
Montrezl Harrell,6.67,7.33
Ike Anigbogu,6.83,7.50
Kawhi Leonard,6.58,7.25
Rodrigue Beaubois,6.17,6.83
Will Solomon,6.08,6.75
Marshon Brooks,6.42,7.08
Rakeem Christmas,6.75,7.42
Alexis Ajinca,7.08,7.75
Josh Howard,6.50,7.17
Mario Chalmers,6.17,6.83
Melvin Frazier,6.50,7.17